english	translation	category	sub_category	source
Study	Estudar	actions	item	Fire
Remove	Remover	actions	item	Oak lectern
Lay	Armar	actions	item	Bird snare
Activate	Ativar	actions	item	Magic box
Crush	Esmagar	actions	item	Smouldering heart
Eat-from	Comer-de	actions	item	Smouldering pile of flesh
Bury	Enterrar	actions	item	Giant bones
Examine	Examinar	actions	item	
Take	Pegar	actions	item	
Light	Acender	actions	item	
(Members)	(Membros)	actions	item	
Walk here	Caminhar para cá	actions	manual	
Examine	Examinar	actions	manual	
Cancel	Cancelar	actions	manual	
Add to canvas	Adicionar ao canva	actions	manual	
Wiki	Wiki	actions	manual	
Accurate	Preciso	actions	menu	combatOptionsTab
Aggressive	Agressivo	actions	menu	combatOptionsTab
Defensive	Defensivo	actions	menu	combatOptionsTab
Controlled	Controlado	actions	menu	combatOptionsTab
Chop	Cortar	actions	menu	combatOptionsTab
Slash	Dilacerar	actions	menu	combatOptionsTab
Stab	Perfurar	actions	menu	combatOptionsTab
Block	Bloquear	actions	menu	combatOptionsTab
Pound	Triturar	actions	menu	combatOptionsTab
Pummel	Esmurrar	actions	menu	combatOptionsTab
Spike	Perfurar	actions	menu	combatOptionsTab
Impale	Empalar	actions	menu	combatOptionsTab
Smash	Esmagar	actions	menu	combatOptionsTab
Lunge	Estocar	actions	menu	combatOptionsTab
Swipe	Varrer	actions	menu	combatOptionsTab
Hack	Retalhar	actions	menu	combatOptionsTab
Reap	Ceifar	actions	menu	combatOptionsTab
Rapid	Rápido	actions	menu	combatOptionsTab
Longrange	Longo alcance	actions	menu	combatOptionsTab
Flick	Estalar	actions	menu	combatOptionsTab
Lash	Chicotear	actions	menu	combatOptionsTab
Deflect	Desviar	actions	menu	combatOptionsTab
Fend	Defender	actions	menu	combatOptionsTab
Bash	Pancada	actions	menu	combatOptionsTab
Blaze	Queimar	actions	menu	combatOptionsTab
Scorch	Chamuscar	actions	menu	combatOptionsTab
Flare	Incendiar	actions	menu	combatOptionsTab
Punch	Socar	actions	menu	combatOptionsTab
Kick	Chutar	actions	menu	combatOptionsTab
Hide	Ocultar	actions	menu	prayerTab
Activate	Ativar	actions	menu	prayerTab
Unhide	Mostrar	actions	menu	prayerTab
Deactivate	Desativar	actions	menu	prayerTab
Animation	Animação	actions	menu	spellBookTab
Hide	Ocultar	actions	menu	spellBookTab
Cast	Lançar	actions	menu	spellBookTab
Unhide	Mostrar	actions	menu	spellBookTab
View	Ver	actions	menu	spellBookTab
Warnings	Avisos	actions	menu	spellBookTab
Configure	Configurar	actions	menu	spellBookTab
Grand Exchange	Mercado Geral (GE)	actions	menu	spellBookTab
Seers'	Aldeia dos Videntes (Seers)	actions	menu	spellBookTab
Group: Previous	Grupo: Anterior	actions	menu	spellBookTab
Group: Choose	Grupo: Escolher	actions	menu	spellBookTab
Outside	Exterior	actions	menu	spellBookTab
Yanille	Yanille	actions	menu	spellBookTab
Enable warning	Ativar aviso	actions	menu	spellBookTab
Disable warning	Desativar aviso	actions	menu	spellBookTab
Turael	Turael	actions	menu	spellBookTab
Target	Alvo	actions	menu	spellBookTab
Setup	Configurar	actions	menu	spellBookTab
Arceuus	Arceuus	actions	menu	spellBookTab
Ancient	Antigo (Ancient)	actions	menu	spellBookTab
Standard	Padrão	actions	menu	spellBookTab
Reanimate	Reanimar	actions	menu	spellBookTab
Resurrect	Ressuscitar	actions	menu	spellBookTab
Adjust Music Volume	Ajustar Volume da Música	actions	menu	settingsTab
Adjust Area Sound Volume	Ajustar Volume de Som na Área	actions	menu	settingsTab
Adjust Sound Effect Volume	Ajustar Volume de Efeitos Sonoros	actions	menu	settingsTab
Toggle unlock message	Ativar/desativar dica de desbloqueio	actions	menu	settingsTab
Play	Tocar	actions	menu	
Open Activity Adviser	Abrir o Consultor de Atividades	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)	<colNum0>Definir canal do chat:</col> Grupo (/@g)	actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)	<colNum0>Definir canal do chat:</col> Clã Visitante (/@gc)	actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)	<colNum0>Definir canal do chat:</col> Clã (/@c)	actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)	<colNum0>Definir canal do chat:</col> Bate-papo entre amigos (/@f)	actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)	<colNum0>Definir canal de chat:</col> Público (/@p)	actions	menu	
Clear history	Limpar histórico	actions	menu	
Switch tab	Trocar de menu	actions	menu	
Configure filter	Configurar filtro	actions	menu	
<colNum0>Game:</col> Clear history	<colNum0>Jogo:</col> Limpar histórico	actions	menu	
<colNum0>Game:</col> Filter	<colNum0>Jogo:</col> Filtro	actions	menu	
Setup your autochat	Configurar suas mensagens automatizadas	actions	menu	
Filter public chat	Filtrar bate-papo público	actions	menu	
<colNum0>Public:</col> Clear history	<colNum0>Público:</col> Limpar histórico	actions	menu	
<colNum0>Public:</col> Hide	<colNum0>Público:</col> Ocultar	actions	menu	
<colNum0>Public:</col> Show none	<colNum0>Público:</col> Não mostrar nada	actions	menu	
<colNum0>Public:</col> Show friends	<colNum0>Público:</col> Mostrar amigos	actions	menu	
<colNum0>Public:</col> Show standard	<colNum0>Público:</col> Mostrar padrão	actions	menu	
<colNum0>Public:</col> Show autochat	<colNum0>Público:</col> Mostrar bate-papo automático	actions	menu	
<colNum0>Private:</col> Clear history	<colNum0>Privado:</col> Limpar histórico	actions	menu	
<colNum0>Private:</col> Show none	<colNum0>Privado:</col> Não mostrar nada	actions	menu	
<colNum0>Private:</col> Show friends	<colNum0>Privado:</col> Mostrar amigos	actions	menu	
<colNum0>Private:</col> Show all	<colNum0>Privado:</col> Mostrar tudo	actions	menu	
<colNum0>Channel:</col> Clear history	<colNum0>Canal:</col> Limpar histórico	actions	menu	
<colNum0>Channel:</col> Show none	<colNum0>Canal:</col> Não mostrar nada	actions	menu	
<colNum0>Channel:</col> Show friends	<colNum0>Canal:</col> Mostrar amigos	actions	menu	
<colNum0>Channel:</col> Show all	<colNum0>Canal:</col> Mostrar tudo	actions	menu	
<colNum0>Clan:</col> Clear history	<colNum0>Clã:</col> Limpar histórico	actions	menu	
<colNum0>Clan:</col> Show none	<colNum0>Clã:</col> Não mostrar nada	actions	menu	
<colNum0>Clan:</col> Show friends	<colNum0>Clã:</col> Mostrar amigos	actions	menu	
<colNum0>Clan:</col> Show all	<colNum0>Clã:</col> Mostrar tudo	actions	menu	
<colNum0>Group:</col> Clear history	<colNum0>Grupo:</col> Limpar histórico	actions	menu	
<colNum0>Group:</col> Show none	<colNum0>Grupo:</col> Não mostrar nada	actions	menu	
<colNum0>Group:</col> Show friends	<colNum0>Grupo:</col> Mostrar amigos	actions	menu	
<colNum0>Group:</col> Show all	<colNum0>Grupo:</col> Mostrar tudo	actions	menu	
<colNum0>Trade:</col> Clear history	<colNum0>Troca:</col> Limpar histórico	actions	menu	
<colNum0>Trade:</col> Show none	<colNum0>Troca:</col> Não mostrar nada	actions	menu	
<colNum0>Trade:</col> Show friends	<colNum0>Troca:</col> Mostrar amigos	actions	menu	
