english	translation	category	sub_category	source
You can now use the Falador Agility shortcut and the Shayzien basic course.	Agora você pode usar o atalho de Falador e treinar no circuito básico de Shayzien.	lvl_up_msg	Agility	Agility level up messages
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	Os membros podem atravessar o Rio Lum até Al-Kharid e voltar usando um gancho de mithril.	lvl_up_msg	Agility	Agility level up messages
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	Agora você pode atravessar a corda bamba até a Ilha do Gigante de Líquen e usar o atalho da Corsair Cove.	lvl_up_msg	Agility	Agility level up messages
Members can scale Falador south wall with a mithril grapple.	Os membros podem escalar a parede sul de Falador com um gancho de mithril.	lvl_up_msg	Agility	Agility level up messages
You can now use the stepping stones in Karamja Dungeon.	Agora você pode atravessar a ponte de pedras na Masmorra de Karamja, em Brimhaven.	lvl_up_msg	Agility	Agility level up messages
You can now jump the fence south of Varrock.	Agora você pode pular a cerca ao sul de Varrock.	lvl_up_msg	Agility	Agility level up messages
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	Agora você pode usar as barras fixas sob Fronteiriça e o atalho para a Masmorra da Corsair Cove.	lvl_up_msg	Agility	Agility level up messages
You can now use the Yanille Agility shortcut.	Agora você pode usar o atalho de Yanille.	lvl_up_msg	Agility	Agility level up messages
You can now use a Kourend Catacombs Agility shortcut.	Agora você pode usar um atalho das Catacumbas de Kourend.	lvl_up_msg	Agility	Agility level up messages
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.	Agora você pode treinar no circuito dos telhados em Al-Kharid, passar pelos obstáculos de nível médio da Arena de Agilidade, e atravessar o atalho do tronco do vagonete de carvão.	lvl_up_msg	Agility	Agility level up messages
You can now use the Grand Exchange Agility shortcut.	Agora você pode usar o atalho do Mercado Geral.	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon.	Agora você pode se contorcer pelo cano na Masmorra de Karamja.	lvl_up_msg	Agility	Agility level up messages
Members can scale the Observatory cliff with a mithril grapple.	Os membros podem escalar o penhasco do Observatório em Kandarin com um gancho de mithril.	lvl_up_msg	Agility	Agility level up messages
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.	Agora você pode entrar no Circuito de Caveirobol do Lobisomem e usar o atalho da escalada do penhasco para subir ao Pico das Águias.	lvl_up_msg	Agility	Agility level up messages
You can now use the Falador Agility shortcut.	Agora você pode usar o atalho de Falador.	lvl_up_msg	Agility	Agility level up messages
You can now use the Kourent Catacombs pillar jump Agility shortcut.	Agora você pode usar o atalho do salto do pilar das Catacumbas de Kourend.	lvl_up_msg	Agility	Agility level up messages
You can now use the lower cliffside climb by Mount Karuulm.	Agora você pode usar a escalada na parte inferior do penhasco do Monte Karuulm.	lvl_up_msg	Agility	Agility level up messages
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun the Cold War quest.	Agora você pode usar a pirâmide de agilidade, o circuito dos telhados em Varrock, as pedras no sudeste de Karamja e o atalho da área de recursos da Corsair Cove. Você também pode treinar no circuito dos pinguins se tiver iniciado a missão Guerra Fria.	lvl_up_msg	Agility	Agility level up messages
You can now use the Draynor Manor stones to Champions' guild Agility shortcut.	Agora você pode usar o atalho da ponte de pedra, cruzando o Rio Lum da Mansão Draynor até a Guilda dos Campeões.	lvl_up_msg	Agility	Agility level up messages
Members can now use the Shilo Village river crossing.	Os membros agora podem usar a travessia do rio na Vila de Shilo.	lvl_up_msg	Agility	Agility level up messages
You can now use Ardougne log balance Agility shortcut.	Agora você pode usar o atalho do equilíbrio de troncos em Ardougne.	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon and a Kourend Catacombs Agility shortcut.	Agora você pode usar a contorção do cano na masmorra de Karamja e um atalho nas Catacumbas de Kourend.	lvl_up_msg	Agility	Agility level up messages
You can now enter the Barbarian Agility Course.	Agora você pode treinar no Circuito Bárbaro.	lvl_up_msg	Agility	Agility level up messages
Members can get off the water obelisk island near Catherby with a mithril grapple.	Os membros podem sair da ilha do obelisco da água direto para o litoral de Catherby, com um gancho de mithril.	lvl_up_msg	Agility	Agility level up messages
You can now use the Gnome Stronghold Agility shortcut.	Agora você pode usar o atalho do Forte dos Gnomos.	lvl_up_msg	Agility	Agility level up messages
You can now use Al Kharid mining pit cliffside scramble Agility shortcut.	Agora você pode usar o atalho da escarpa da mina de Al Kharid.	lvl_up_msg	Agility	Agility level up messages
Members can scale Yanile south wall by using a mithril grapple.	Os membros podem escalar a parede sul de Yanile usando um gancho de mithril.	lvl_up_msg	Agility	Agility level up messages
You can now use the Canifis course, pass high level Agility Arena obstacles and use the Hosidius lake isle jump Agility shortcut.	Agora você pode treinar no circuito de Canifis, passar pelos obstáculos de alto nível da Arena e usar o atalho do salto da ilha do lago Hosidius.	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim easy cliffside scramble Agility shortcut.	Agora você pode usar o atalho da escarpa fácil de Trollheim.	lvl_up_msg	Agility	Agility level up messages
You can now use Dwarven mine narrow crevice Agility shortcut and climb the wall at Draynor toward Port Sarim.	Agora você pode usar o atalho da fenda estreita na mina dos anões e escalar a parede em Draynor em direção a Porto Sarim.	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim medium cliffside scramble Agility shortcut.	Agora você pode usar o atalho da escalada média na falésia de Trollheim.	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim advanced cliffside scramble.	Agora você pode usar a escalada avançada na falésia de Trollheim.	lvl_up_msg	Agility	Agility level up messages
You can now use the Elf area log balance and the Hosidius river jump Agility shorcut.	Agora você pode usar o equilíbrio no tronco na área dos elfos e o atalho do salto no rio Hosidius.	lvl_up_msg	Agility	Agility level up messages
You can now use the Cosmic Temple medium narrow walkway Agility shortcut.	Agora você pode usar o atalho da passarela estreita média do Templo Cósmico.	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim hard cliffside scramble.	Agora você pode usar a escalada difícil na falésia de Trollheim.	lvl_up_msg	Agility	Agility level up messages
You can now use the Ape Atoll Agility Course, the Shayzien advanced course and the log balance to Fremennik Province Agility shortcut.	Agora você pode treinar no circuito do Atol dos Macacos, no circuito avançado de Shayzien e se equilibrar em troncos para o atalho da província Fremennik.	lvl_up_msg	Agility	Agility level up messages
You can now equip Crystal Equipment, access the Falador course and cross the stepping stone near the Nature Grotto.	Agora você pode equipar o equipamento de cristal, treinar no circuito de Falador e atravessar a pedra perto da Gruta da Natureza.	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe from Edgeville dungeon to Varrock sewers Agility shortcut.	Agora você pode usar o cano da masmorra de Fronteiriça para o atalho dos esgotos de Varrock.	lvl_up_msg	Agility	Agility level up messages
You can now enter the Wilderness Agility Course, enter Floor 1 of the Hallowed Sepulchre and use the eastern scramble at the Arceuus essence mine.	Agora você pode treinar no circuito da Terra Selvagem, entrar no primeiro andar do Sepulcro Sagrado, e usar a subida leste na mina de essência em Arceuus.	lvl_up_msg	Agility	Agility level up messages
Members can take a shortcut south of the volcano on the island of Karamja by using a mithril grapple.	Os membros podem usar um atalho ao sul do vulcão na ilha de Karamja usando um gancho de mithril.	lvl_up_msg	Agility	Agility level up messages
