english	translation	category	sub_category	source
Barbarian Assault	Barbarian Assault	manual	activity	
Blast Furnace	Blast Furnace	manual	activity	
Castle Wars	Castle Wars	manual	activity	
Fishing Trawler	Fishing Trawler	manual	activity	
Burthorpe Games Room	Burthorpe Games Room	manual	activity	
Nightmare Zone	Nightmare Zone	manual	activity	
Pest Control	Pest Control	manual	activity	
Rat Pits	Rat Pits	manual	activity	
Shades of Mort'ton	Shades of Mort'ton	manual	activity	
Trouble Brewing	Trouble Brewing	manual	activity	
TzHaar Fight Pit	TzHaar Fight Pit	manual	activity	
Shield of Arrav	Shield of Arrav	manual	activity	
Clan Wars	Clan Wars	manual	activity	
Giants' Foundry	Giants' Foundry	manual	activity	
God Wars	God Wars	manual	activity	
Guardians of the Rift	Guardians of the Rift	manual	activity	
Dagannoth Kings	Dagannoth Kings	manual	activity	
Player Owned Houses	Player Owned Houses	manual	activity	
Tithe Farm	Tithe Farm	manual	activity	
Last Man Standing	Last Man Standing	manual	activity	
Volcanic Mine	Volcanic Mine	manual	activity	
Theatre of Blood	Theatre of Blood	manual	activity	
Soul Wars	Soul Wars	manual	activity	
Shooting Stars	Shooting Stars	manual	activity	
Tombs of Amascut	Tombs of Amascut	manual	activity	
Mage Training Arena	Mage Training Arena	manual	activity	
Yes	Sim	manual	emote	
No	Não	manual	emote	
Bow	Cuvar-se	manual	emote	
Angry	Zangar-se	manual	emote	
Think	Pensar	manual	emote	
Wave	Acenar	manual	emote	
Shrug	Dar de ombros	manual	emote	
Cheer	Celebrar	manual	emote	
Beckon	Chamar	manual	emote	
Laugh	Risada	manual	emote	
Jump for Joy	Pular de alegria	manual	emote	
Yawn	Bocejar	manual	emote	
Dance	Dançar	manual	emote	
Jig	Saltitar	manual	emote	
Spin	Rodopiar	manual	emote	
Headbang	Bater com a cabeça	manual	emote	
Cry	Chorar	manual	emote	
Blow Kiss	Beijo no ar	manual	emote	
Panic	Pânico	manual	emote	
Raspberry	Zombar	manual	emote	
Clap	Bater palmas	manual	emote	
Salute	Saudar	manual	emote	
Goblin Bow	Cumprimento dos duendes	manual	emote	
Goblin Salute	Saudação dos duendes	manual	emote	
Glass Box	Caixa de vidro	manual	emote	
Climb Rope	Subir corda	manual	emote	
