english	translation	category	sub_category	source
Well done. You threw the shot [1-14] yards!		dialogue	Ref	[18lb/22lb] Shot Put Referee
Hey! You can't take that, it's guild property. Take one from the pile.		dialogue	Ref	[18lb/22lb] Shot Put Referee
Alright, thanks!		dialogue	Workman	[Sinco Doar/Tinse Torpe]
Alright, thanks!		dialogue	Workman (wheelbarrow)	[Sinco Doar/Tinse Torpe]
Hello?	Olá?	dialogue	1337mage43	1337mage43
No you didn't. Get out of my spell!	Não, não começou. Saia do meu contatar NPC!	dialogue	1337mage43	1337mage43
What! I'm no cry-baby, you cry-baby!	O que! Eu não sou tapado, você é tapado!	dialogue	1337mage43	1337mage43
I'm reporting you!	Eu vou te denunciar!	dialogue	1337mage43	1337mage43
Welcome to the Emir's Arena! Are you interested in 1v1 Tournaments? We organise ranked Tournaments here, or alternatively you can organise your own unranked Tournaments.	Bem-vindo à Arena do Emir! Você está interessado em torneios 1v1? Organizamos torneios classificados aqui, ou você pode organizar seus próprios torneios não-classificados.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
A group of fighters is divided into pairs of opponents, and they all fight their opponent. The winners of those fights proceed to the next round, where they're divided into pairs, and they each fight their new opponent.	Um grupo de lutadores é dividido em pares de oponentes, e todos lutam contra seus oponentes. Os vencedores dessas lutas avançam para a próxima rodada, onde são divididos em pares e cada um luta contra seu novo oponente.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
The number of surviving fighters is halved each time, until eventually only one person is left standing. They're the winner of the Tournament.	O número de lutadores sobreviventes é reduzido pela metade a cada vez, até que, eventualmente, apenas uma pessoa permaneça em pé. Essa pessoa é a vencedora do torneio.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
Everyone has a rank. It's meant to indicate how good they are at fighting, compared to other people.	Todos têm uma classificação. Ela serve para indicar o quão bons eles são em lutar, em comparação com outras pessoas.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
In ranked fights, the winners gain rank and the losers lose rank. The Arena staff will decide who'll be fighting in each ranked Tournament, and send the invitations.	Nas lutas com classificação, os vencedores ganham classificação e os perdedores perdem classificação. A equipe da Arena decidirá quem lutará em cada torneio com classificação e enviará os convites.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
But if you just want some casual fun, you can have an unranked Tournament, where no-one gains or loses rank. You can organise your own unranked Tournament, and decide for yourself who'll fight in it.	Mas se você quiser apenas se divertir casualmente, pode participar de um torneio sem-classificação, onde ninguém ganha ou perde classificação. Você pode organizar seu próprio torneio sem classificação e decidir por si mesmo quem lutará nele.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
Only the ranked fights offer access to the other rewards of the Arena.	Apenas as lutas com classificação oferecem acesso às outras recompensas da Arena.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
You'll need to sign up to a recruitment group...	Você precisará se inscrever em um grupo de recrutamento...	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
This is the icon for the Grouping tab. Within it you'll find the PvP Arena options.	Este é o ícone da guia Agrupamento. Nela, você encontrará as opções da Arena PvP.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
There, you can click Find to seek the official group for ranked Tournaments. Alternatively, you could look for another player's group, for an unranked Tournament.	Lá, você pode clicar em Encontrar para procurar o grupo oficial para torneios classificados. Como alternativa, você pode procurar o grupo de outro jogador para um torneio não classificado.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
Once you've found a suitable group for you, click Sign up to sign up to it, and you'll be considered for an invitation to a Tournament, whenever one begins.	Depois de encontrar um grupo adequado para você, clique em Inscrever-se para se inscrever e você será considerado para um convite para um torneio, sempre que um começar.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
You can carry on with your adventures while you're waiting for a Tournament to begin, since it may be a while before suitable fighters are available.	Você pode continuar suas aventuras enquanto espera o torneio começar, pois pode demorar um pouco até que lutadores adequados estejam disponíveis.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
Just use my Recruitment Board here to form your own recruitment group. Once you've got one, wait for other fighters to join it.	Basta usar meu Quadro de Recrutamento aqui para formar seu próprio grupo de recrutamento. Depois de criar um, espere que outros lutadores se juntem a ele.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
This is the icon for the Grouping tab. Once you've formed a recruitment group, you'll be able to control it there, via the PvP Arena options.	Este é o ícone da guia Agrupamento. Depois de formar um grupo de recrutamento, você poderá controlá-lo lá, através das opções da Arena PvP.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
When you're ready to start, click Start to summon your awaiting fighters. You'll need to be on a PvP Arena world to start your Tournament.	Quando estiver pronto para começar, clique em Iniciar para convocar seus lutadores que estão aguardando. Você precisará estar em um mundo da Arena PvP para iniciar seu torneio.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
What's a 1v1 Tournament?	O que é um torneio 1v1?	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
Ranked or unranked? What does that mean?	Classificado ou não-classificado? O que significa?	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
How do I get invited into a Tournament?	Como eu posso ser convidado para um Torneio?	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
I want to organise my own Tournament.	Quero organizar meu próprio torneio.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
Okay, goodbye.	Ok, adeus.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
I'm okay, thanks.	Estou bem, obrigado.	dialogue	1v1 Tournament Guide	1v1 Tournament Guide
Nope, I say what we do.		dialogue	Ikkle Hydra	2nd head from the left
Who goes there?	Quem está aí?	dialogue	50% Luke	50% Luke
Arr! A landlubber!	Arr! Um marinheiro de água doce!	dialogue	50% Luke	50% Luke
Begone afore I take my cutlass to ye! I've been charged with guardin' this gate and no noodle-armed landlubbers will make it past me alive!	Vá embora antes que eu use meu gancho em você! Fui encarregado de guardar este portão e nenhum marinheiro de água doce com braços fracos passará por mim vivo!	dialogue	50% Luke	50% Luke
Ye cheeky begger! I was wavin' my finger at ye!	Seu pedinte atrevido! Eu estava acenando com o dedo para você!	dialogue	50% Luke	50% Luke
Arrr... just 'cos me body happens to be 50% wood does not mean I'm heartless.	Arrr... só porque meu corpo é 50% madeira, não significa que eu não tenha coração.	dialogue	50% Luke	50% Luke
I got a bag of 'em here. Wanna see?	Tenho um saco cheio deles aqui. Quer ver?	dialogue	50% Luke	50% Luke
That be a tale so heart-wrenchin' that it has so far wrenched the hearts from over a dozen sturdier men than thee!	É uma história tão comovente que já partiu o coração de mais de uma dúzia de homens mais fortes do que você!	dialogue	50% Luke	50% Luke
A tale of such woe that none but the stoniest hearts can hear it without sheddin' a single, poignant tear...	Uma história tão triste que só os corações mais duros conseguem ouvir sem derramar uma única lágrima comovente...	dialogue	50% Luke	50% Luke
And I'll never tell ye, not even if ye wore an item, such as a ring, with powers of mind control!	E eu nunca vou contar para você, nem mesmo se você usasse um item, como um anel, com poderes de controle mental!	dialogue	50% Luke	50% Luke
Hmmmm...well alright...	Hmmmm... bem, tudo bem...	dialogue	50% Luke	50% Luke
Wait, no!	Espere, não vai me enganar não!	dialogue	50% Luke	50% Luke
Get goin' landlubber before I take my splintery foot to yer behind!	Vá embora, marinheiro de água doce, antes que eu dê um chute no seu traseiro com meu pé de madeira cheio de farpas!	dialogue	50% Luke	50% Luke
Well ye seem like a [lad/lass] that can handle such a tale...so I'll tell ye...	Bem, você parece ser um [rapaz/moça] capaz de lidar emocionalmente com tal história... então eu vou lhe contar...	dialogue	50% Luke	50% Luke
Well, it all starts with this albatross...	Bem, tudo começa com este albatroz...	dialogue	50% Luke	50% Luke
Wait, never mind, I'll skip forward a bit.	Espere, esqueça, vou pular um pouco adiante.	dialogue	50% Luke	50% Luke
I have to [lad/lass], Cap'n Donnie will flay what little is left of me if I told ye.	Eu tenho que adiantar [rapaz/moça], o capitão Donnie vai me esfolar vivo se eu contar.	dialogue	50% Luke	50% Luke
But anyway, I got recruited to the zombie pirates along with the rest of the crew in an unspecified incident involvin this albatross.	Mas enfim, eu fui recrutado pelos piratas zumbis junto com o resto da tripulação em um incidente não especificado envolvendo esse albatroz.	dialogue	50% Luke	50% Luke
We was sailin' along happily, and I was partakin' of a little 'rum' in the crows nest.	Estávamos navegando alegremente, e eu estava tomando um pouco de rum no ninho do corvo.	dialogue	50% Luke	50% Luke
Well, we hit either a really rough wave or some rocks.	Bem, batemos em uma onda muito forte ou em algumas rochas.	dialogue	50% Luke	50% Luke
Twas kind of hard for me to tell which, as I was well out of it by then!	Era difícil para mim dizer qual das duas, pois eu já estava bem fora de mim naquele momento!	dialogue	50% Luke	50% Luke
Regardless I toppled from the crows nest into the water.	De qualquer forma, eu caí do ninho do corvo na água.	dialogue	50% Luke	50% Luke
No [lad/lass]!	Não [cara/menina]!	dialogue	50% Luke	50% Luke
What happened next was that I discovered a new, previously uncharted reef of hard, spiky coral.	O que aconteceu a seguir foi que descobri um novo recife de corais duros e pontiagudos, anteriormente desconhecido.	dialogue	50% Luke	50% Luke
I made a mental note of its location, and to this day it is still marked on our fleet's charts as Lukes Reef.	Anotei mentalmente sua localização e, até hoje, ele ainda está marcado nos mapas da nossa frota como Recife de Luke.	dialogue	50% Luke	50% Luke
I managed to grab a hold of our ship, the Inebriated, as it passed overhead.	Consegui me agarrar ao nosso navio, o Inebriável, quando ele passou por cima de mim.	dialogue	50% Luke	50% Luke
And then I discovered another, taller, spikier reef of even sharper and more painful coral.	E então descobri outro recife, mais alto e mais pontiagudo, com corais ainda mais afiados e dolorosos.	dialogue	50% Luke	50% Luke
To this day it is still marked on our fleet's charts as The Other 50% Reef.	Até hoje, ele ainda está marcado nos mapas da nossa frota como O Outro Recife 50%.	dialogue	50% Luke	50% Luke
It gets worse...	E fica pior...	dialogue	50% Luke	50% Luke
When they hauled what was left of me on deck, they dropped me onto the floor while they decided what to do with me.	Quando eles puxaram o que restava de mim para o convés, me jogaram no chão enquanto decidiam o que fazer comigo.	dialogue	50% Luke	50% Luke
Bear in mind this would be on a ghost ship, the planks of which sweat a thick mixture of stagnant water...and pure salt crystals.	Lembre-se de que isso aconteceu em um navio fantasma, cujas tábuas exalam uma mistura espessa de água estagnada... e cristais de sal puro.	dialogue	50% Luke	50% Luke
But on the good side, all my thrashin' and pained squealin' settled the matter in the Captain's mind, and he had the shipwright carve me half a body out of his Witchwood Planks.	Mas, pelo lado bom, toda a minha agitação e gritos de dor resolveram a questão na mente do capitão, e ele mandou o carpinteiro naval esculpir metade do meu corpo com tábuas de madeira de bruxa.	dialogue	50% Luke	50% Luke
Tis a special, magical wood from a now extinct tree.	É uma madeira especial e mágica de uma árvore agora extinta.	dialogue	50% Luke	50% Luke
Once they nailed it all in place the stuff moves like it is part of me body.	Depois que eles pregaram tudo no lugar, o material se move como se fosse parte do meu corpo.	dialogue	50% Luke	50% Luke
The stuff will also grow back if it breaks, which is dead handy!	O material também cresce de novo se quebrar, o que é muito útil!	dialogue	50% Luke	50% Luke
Arr! That it be!	Arr! É mesmo!	dialogue	50% Luke	50% Luke
So, that be the tale of how I managed to lose precisely 50% of my body.	Então, essa é a história de como eu consegui perder exatamente 50% do meu corpo.	dialogue	50% Luke	50% Luke
What kind of a question is that?	Que tipo de pergunta é essa?	dialogue	50% Luke	50% Luke
Ye've got that right!	É o que eu ia dizer!	dialogue	50% Luke	50% Luke
Don't make me angry! Ye'll not like me when I'm angry!	Não me deixe com raiva! Você não vai gostar de mim quando estou com raiva!	dialogue	50% Luke	50% Luke
Let that be a lesson to ye!	Que isso sirva de lição para você!	dialogue	50% Luke	50% Luke
Ye expect me to talk?	Você espera que eu fale?	dialogue	50% Luke	50% Luke
Hah! I'm one step ahead of ye!	Hah! Estou um passo à sua frente!	dialogue	50% Luke	50% Luke
I can't tell ye [lad/lass].	Não posso te contar, [rapaz/moça].	dialogue	50% Luke	50% Luke
The Cap'n would have me whittled down to toothpicks if I did.	O capitão me transformaria em palitos de dente da Gina, se eu contasse.	dialogue	50% Luke	50% Luke
No. Just...no.	Não. Simplesmente... não.	dialogue	50% Luke	50% Luke
Look, [lad/lass] I'm not tellin' ye a thing! So clear out while ye still can!	Olha, [rapaz/moça], não vou te contar nada! Então saia daqui enquanto ainda pode!	dialogue	50% Luke	50% Luke
Arr! Tryin' ter get away eh? Well ye'll never sneak past me, I'm the best lookout this crew has ever seen!	Arr! Tentando fugir, hein? Bem, você nunca vai passar por mim, sou o melhor vigia que esta tripulação já teve!	dialogue	50% Luke	50% Luke
Where?	Onde?	dialogue	50% Luke	50% Luke
Hey! What are you doing out there?	Ei! O que você está fazendo aí fora?	dialogue	50% Luke	50% Luke
Well Cap'n Donnie said no livin' landlubbers were allowed out of the compound.	Bem, o Capitão Donnie disse que nenhum marinheiro de primeira viagem poderia sair do complexo.	dialogue	50% Luke	50% Luke
So get yerself back in here, or yer for it!	Então volte para cá, ou você vai se dar mal!	dialogue	50% Luke	50% Luke
What happened to you?	O que aconteceu com você?	dialogue	50% Luke	50% Luke
How flammable are you?	O quão inflamável você é?	dialogue	50% Luke	50% Luke
So what is going on here anyway?	Então, o que está acontecendo aqui afinal?	dialogue	50% Luke	50% Luke
Hi. How can I help?	Oi. Como posso ajudar?	dialogue	A'abla	A'abla
Sorry, I'm not on duty.	Desculpe, eu não estou trabalhando agora.	dialogue	A'abla	A'abla
PLEASE DON'T KILL ME!	POR FAVOR NÃO ME MATE!	dialogue	A'abla	A'abla
No way, I'm out of here just as soon as I've packed up my stuff!	De forma alguma, eu vou dar o fora daqui assim que acabar de arrumar minhas coisas.	dialogue	A'abla	A'abla
You look healthy to me!	Você parece saudável para mim!	dialogue	A'abla	A'abla
Of course!	É claro!	dialogue	A'abla	A'abla
Yes I do. Thankfully we can cope with almost anything. Jaraah really is a wonderful surgeon, his methods are a little unorthodox but he gets the job done.	Sim. Ainda bem que podemos lidar com quase tudo. O Jaraah é um cirurgião maravilhoso, seus métodos são... diferentes. Mas ele faz o trabalho bem feito.	dialogue	A'abla	A'abla
I shouldn't tell you this but his nickname is 'The Butcher'.	"Eu não deveria te dizer, mas o apelido dele é ""O Açougueiro""."	dialogue	A'abla	A'abla
I work here, so yes!	Eu trabalho aqui, então sim!	dialogue	A'abla	A'abla
You're silly!	Você é curioso!	dialogue	A'abla	A'abla
Can you heal me?	Você pode me curar?	dialogue	A'abla	A'abla
Do you see a lot of injured fighters?	Você vê muitos combatentes machucados?	dialogue	A'abla	A'abla
Do you come here often?	Você vem aqui com frequência?	dialogue	A'abla	A'abla
Greetings traveller.	Saudações, viajante.	dialogue	Abbot Langley	Abbot Langley
Ok.	Tudo bem.	dialogue	Abbot Langley	Abbot Langley
Abbot Langley places his hands on your head. You feel a little better.	O Abade Langley coloca as mãos em sua testa. Você se sente um pouco melhor.	dialogue	Abbot Langley	Abbot Langley
We like it that way actually! We get disturbed less. We still get rather a large amount of travellers looking for sanctuary and healing here as it is!	Na verdade nós o preferimos assim! Somos menos incomodados. Ainda assim, recebemos viajantes buscando rezar no santuário e receber uma cura.	dialogue	Abbot Langley	Abbot Langley
I'm sorry but only members of our order are allowed in the second level of the monastery.	Sinto muito, somente membros da nossa ordem podem subir ao andar de cima do Monastério.	dialogue	Abbot Langley	Abbot Langley
No. I am sorry, but I feel you are not devout enough.	Não. Lamento, mas eu sinto que você não tem devoção suficiente.	dialogue	Abbot Langley	Abbot Langley
You need a prayer level of 31 to join the order.	Você precisa de nível 31 em Oração para juntar-se à Ordem.	dialogue	Abbot Langley	Abbot Langley
Ok, I see you are someone suitable for our order. You may join.	Ok, vejo que você é alguém adequado para nossa Ordem. Você pode se juntar a nós.	dialogue	Abbot Langley	Abbot Langley
Oh, sorry.	Ah, me desculpe.	dialogue	Abbot Langley	Abbot Langley
I might be able to... What did you have in mind?	Talvez eu seja capaz... O que você tem em mente?	dialogue	Abbot Langley	Abbot Langley
I think I shoud be able to manage that. However in doing so, I'm afraid I'll have to destroy the blessed shield itself. You'll only get the sigil back.	Acho que eu consigo fazer isso. Todavia, receio que terei que destruir o escudo abençoado por inteiro. Você receberá apenas o selo de volta.	dialogue	Abbot Langley	Abbot Langley
I can go ahead and break down all of the shields in your inventory now if you'd like?.	Se me permitir, eu posso destruir todos os escudos que você tem na mochila?	dialogue	Abbot Langley	Abbot Langley
Abbot Langley carefully breaks each shield, leaving the sigils perfectly intact.	O Abade Langley cuidadosamente quebra escudo por escudo, deixando os selos perfeitamente intactos.	dialogue	Abbot Langley	Abbot Langley
Only members of our order can go up there.	Somente membros da nossa ordem podem subir aí.	dialogue	Abbot Langley	Abbot Langley
Ah, I was told to expect you, please take this as thanks!	Ah, me disseram que você apareceria, por favor pegue isso como agradecimento!	dialogue	Abbot Langley	Abbot Langley
Abbot Langley quickly takes the soft clay, leather boots and bowl of hot water in exchange for a mysterious helmet.	O Abade Langley pega rapidamente a sua argila macia, botas de couro e a tigela de água quente em troca de um elmo misterioso.	dialogue	Abbot Langley	Abbot Langley
Congratulations, traveller!	Parabéns, viajante!	dialogue	Abbot Langley	Abbot Langley
Abbot Langley has given you another clue scroll!	O Abade Langley lhe deu outro pergaminho de dicas!	dialogue	Abbot Langley	Abbot Langley
Hey, I have something for you but you don't have any space for it!	Ei, eu tenho algo para você, mas infelizmente você não tem nenhum espaço livre para recebê-lo!	dialogue	Abbot Langley	Abbot Langley
Here you go.	Aqui está.	dialogue	Abbot Langley	Abbot Langley
You are handed a torn part of a clue scroll.	Você recebe uma parte rasgada de pergaminho de dicas.	dialogue	Abbot Langley	Abbot Langley
I must say, I despise the equipment you have chosen to wear.	Eu me sinto obrigado a dizer, o equipamento que você está usando é desprezível.	dialogue	Abbot Langley	Abbot Langley
Can you heal me? I'm injured.	Você pode me curar? Estou machucado.	dialogue	Abbot Langley	Abbot Langley
Isn't this place built a bit out of the way?	Este lugar não foi construído um pouco fora de mão?	dialogue	Abbot Langley	Abbot Langley
How do I get further into the monastery?	Como eu acesso o andar de cima do Monastério?	dialogue	Abbot Langley	Abbot Langley
Well can I join your order?	Bem, posso juntar-me à sua Ordem?	dialogue	Abbot Langley	Abbot Langley
Can you help with spirit shields?	Você pode me ajudar com escudos espirituais?	dialogue	Abbot Langley	Abbot Langley
Yes.	Sim.	dialogue	Abbot Langley	Abbot Langley
No.	Não.	dialogue	Abbot Langley	Abbot Langley
Gosh, you are very kind to bring a message to my remote monastery!	Minha Nossa, é muita gentileza sua trazer uma mensagem até mim, em meu monastério isolado.	dialogue	Abbot Langley	Abbot Langley
I'd give you a reward, but you don't seem to have any space for it. Come back when you do.	Eu lhe daria uma recompensa, mas parece que você não tem nenhum espaço livre na mochila. Volte quando tiver.	dialogue	Abbot Langley	Abbot Langley
I grow a few herbs in my little cabbage patch; please take some as a sign of my gratitude.	Eu cultivo algumas plantas em meu canteiro de repolhos; por favor, pegue alguns e tenha a minha gratidão.	dialogue	Abbot Langley	Abbot Langley
Allow me to bestow on you Saradomin's blessings...	Permita-me conceder-lhe as bençãos de Saradomin...	dialogue	Abbot Langley	Abbot Langley
Herbs	Ervas	dialogue	Abbot Langley	Abbot Langley
