english	translation	category	sub_category	source
Destroy	Destruir	inventoryActions	item	Dwarf remains
Drop	Largar	inventoryActions	item	Cannonball
Read	Ler	inventoryActions	item	Nulodion's notes
Set-up	Montar	inventoryActions	item	Cannon base
Blow	Apitar	inventoryActions	item	Magic whistle
Ring	Tocar	inventoryActions	item	Grail bell
Blow-on	Soprar	inventoryActions	item	Magic gold feather
Extinguish	Apagar	inventoryActions	item	Lit black candle
Wield	Empunhar	inventoryActions	item	Excalibur
Wear	Equipar	inventoryActions	item	Khazard helmet
Empty	Esvaziar	inventoryActions	item	Guam potion (unf)
Drink	Beber	inventoryActions	item	Strength potion(4)
Clean	Limpar	inventoryActions	item	Grimy guam leaf
Eat	Comer	inventoryActions	item	Jangerberries
Equip	Equipar	inventoryActions	item	Cattleprod
Plant	Plantar	inventoryActions	item	Mithril seeds
Open	Abrir	inventoryActions	item	Casket
Throw	Jogar	inventoryActions	item	Bird feed
Bury	Enterrar	inventoryActions	item	Bones
Inspect	Inspecionar	inventoryActions	item	Ghost's skull
Bail-with	Jogar água fora	inventoryActions	item	Bailing bucket
Activate	Ativar	inventoryActions	item	Locating crystal
Search	Vasculhar	inventoryActions	item	Panning tray
Polish	Polir	inventoryActions	item	Buttons
Look-at	Olhar-para	inventoryActions	item	Level 1 certificate
Complete	Completar	inventoryActions	item	Radimus notes
Swing	Balançar	inventoryActions	item	Bullroarer
Look	Observar	inventoryActions	item	Sketch
Enchant-Vials	Encantar-Frascos	inventoryActions	item	Binding book
Investigate	Investigar	inventoryActions	item	Dark dagger
Cast Spell	Lançar Feitiço	inventoryActions	item	Holy force
Hold	Segurar	inventoryActions	item	Gnomeball
Dig	Cavar	inventoryActions	item	Spade
Blackout	Buraco negro	inventoryActions	item	Disk of returning
Check	Verificar	inventoryActions	item	Iban's staff
Locate	Localizar	inventoryActions	item	Air talisman
Rub-together	Raspar-juntos	inventoryActions	item	Dry sticks
Study	Estudar	inventoryActions	item	Map part
Rub	Esfregar	inventoryActions	item	Amulet of glory
Empty Bowl	Esvaziar Tigela	inventoryActions	item	Burnt stew
Mix-cocktail	Mixar-coquetel	inventoryActions	item	Cocktail shaker
Remove-legs	Arrancar-pernas	inventoryActions	item	Swamp toad
Prepare	Preparar	inventoryActions	item	Half baked bowl
Empty Tray	Esvaziar	inventoryActions	item	Burnt crunchies
Empty Tin	Esvaziar	inventoryActions	item	Burnt batta
Empty Dish	Esvaziar Forma	inventoryActions	item	Burnt pie
Guzzle	Engolir	inventoryActions	item	Rock cake
Play-with	Brincar-com	inventoryActions	item	Brown toy horsey
Break	Quebrar	inventoryActions	item	Ring of recoil
Toggle-respawn	Alternar-renascimento	inventoryActions	item	Ring of life
Features	Recursos	inventoryActions	item	Ring of wealth
Look through	Olhar	inventoryActions	item	Sextant
Check steps	Verificar etapas	inventoryActions	item	Clue scroll (easy)
Release All	Libertar Todos	inventoryActions	item	Bloated toad
Release	Libertar	inventoryActions	item	Bloated toad
Check kills	Ver qnt. Abates	inventoryActions	item	Ogre bow
Fill	Encher	inventoryActions	item	Druid pouch
Cast Bloom	Lançar Bênção	inventoryActions	item	Silver sickle (b)
Cast	Lançar	inventoryActions	item	Druidic spell
Debug	Debug	inventoryActions	item	Boss helper tool
Play	Tocar	inventoryActions	item	Lyre
Interact	Interagir	inventoryActions	item	Pet rock
Shake	Balançar	inventoryActions	item	Vase
Remove-lid	Remover-tampa	inventoryActions	item	Sealed vase
Preach	Pregar	inventoryActions	item	Holy book
View	Visualizar	inventoryActions	item	Spare controls
Listen	Ouvir	inventoryActions	item	Monkey dentures
Poke	Cutucar	inventoryActions	item	Monkey
Heal	Curar	inventoryActions	item	Bandages
Loop	Loop	inventoryActions	item	Yo-yo
Walk	Andar	inventoryActions	item	Yo-yo
Crazy	Doido	inventoryActions	item	Yo-yo
Ride	Andar de	inventoryActions	item	Sled
Partner	Parceria	inventoryActions	item	Enchanted gem
Log	Coleção	inventoryActions	item	Enchanted gem
Repair	Consertar	inventoryActions	item	Model ship
Follow	Seguir	inventoryActions	item	Treasure map
Count	Contar	inventoryActions	item	Petition form
Check-keys	Ver-chaves	inventoryActions	item	Steel key ring
Dance	Dançar	inventoryActions	item	Rubber chicken
Assemble	Juntar partes	inventoryActions	item	Base schematics
Spin	Girar	inventoryActions	item	Spinning plate
Remove-one	Remover-um	inventoryActions	item	Apples(2)
Build	Construir	inventoryActions	item	Rogue kit
Use	Usar	inventoryActions	item	Null
Slice	Fatiar	inventoryActions	item	Rotten potato
Peel	Descascar	inventoryActions	item	Rotten potato
Mash	Fazer purê	inventoryActions	item	Rotten potato
Lletya	Lletya	inventoryActions	item	Teleport crystal (4)
Prifddinas	Prifddinas	inventoryActions	item	Teleport crystal (4)
