english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.	O corpo de um anão massacrado por duendes.	examine	item	Dwarf remains
Good for repairing broken cannons.	Ótimo para consertar multicanhões quebrados.	examine	item	Toolkit
Ammo for the Dwarf Cannon.	Munição para o multicanhão anão.	examine	item	Cannonball
Construction notes for Dwarf cannon ammo.	Notas de construção para munição do multicanhão.	examine	item	Nulodion's notes
Used to make cannon ammunition.	Usado para fazer munição de multicanhão.	examine	item	Ammo mould
An old note book.	Um caderno velho.	examine	item	Instruction manual
The cannon is built on this.	O canhão é construído sobre isso.	examine	item	Cannon base
The mounting for the multicannon.	A base para o multicanhão.	examine	item	Cannon stand
The barrels of the multicannon.	Os canos do multicanhão.	examine	item	Cannon barrels
This powers the multicannon.	Isso energiza o multicanhão.	examine	item	Cannon furnace
A metal railing replacement.	Uma substituição de grade de metal.	examine	item	Railing
A cloth given to me by Sir Galahad.	Um pano que me foi dado por Sir Galahad.	examine	item	Holy table napkin
A small tin whistle.	Um pequeno apito de lata.	examine	item	Magic whistle
I wonder what happens when I ring it?	O que será que acontece quando eu tocar?	examine	item	Grail bell
It will point the way for me.	Vai me mostrar o caminho.	examine	item	Magic gold feather
A holy and powerful artefact.	Um artefato sagrado e poderoso.	examine	item	Holy grail
A cog from some machinery.	Uma engrenagem de alguma máquina.	examine	item	White cog
Doesn't look very tasty.	Não parece muito saboroso.	examine	item	Rat poison
Wormy.	Cheio de vermes.	examine	item	Red vine worm
Hemenster fishing contest trophy.	Troféu do concurso de pesca de Hemenster.	examine	item	Fishing trophy
Pass to the Hemenster fishing contest.	Um bilhete para o concurso de pesca de Hemenster.	examine	item	Fishing pass
Drives away all known 6 legged creatures.	Afasta todas as criaturas conhecidas com seis patas.	examine	item	Insect repellent
It's a bucket of wax.	É um balde de cera.	examine	item	Bucket of wax
A lit spooky candle.	Uma vela de aparência assustadora acesa.	examine	item	Lit black candle
A lit candle.	Uma vela acesa.	examine	item	Lit candle
This used to belong to King Arthur.	Isso pertencia ao Rei Arthur.	examine	item	Excalibur
A candle.	Uma vela.	examine	item	Candle
A spooky candle.	Uma vela assustadora.	examine	item	Black candle
I can make some arrows with these.	Posso fazer algumas flechas com isso.	examine	item	Bronze arrowtips
Opal bolt tips.	Pontas de seta de opala.	examine	item	Opal bolt tips
Pearl bolt tips.	Pontas de seta de pérola.	examine	item	Pearl bolt tips
I can make bolts with these.	Posso fazer setas com isso.	examine	item	Barb bolttips
I need to find a string for this.	Preciso encontrar uma corda para isso.	examine	item	Longbow (u)
A wooden arrow shaft.	Uma haste de flecha de madeira.	examine	item	Arrow shaft
A wooden arrow shaft with flights attached.	Uma haste de flecha de madeira com penas.	examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.	Um arco curto de carvalho sem corda; preciso de uma corda para isso.	examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.	Um arco longo de carvalho sem corda; preciso de uma corda para isso.	examine	item	Oak longbow (u)
An unstrung willow longbow; I need a bowstring for this.	Um arco longo de salgueiro sem corda; preciso de uma corda para isso.	examine	item	Willow longbow (u)
An unstrung willow shortbow; I need a bowstring for this.	Um arco curto de salgueiro sem corda; preciso de uma corda para isso.	examine	item	Willow shortbow (u)
An unstrung maple longbow; I need a bowstring for this.	Um arco longo de bordo sem corda; preciso de uma corda para isso.	examine	item	Maple longbow (u)
An unstrung maple shortbow; I need a bowstring for this.	Um arco curto de bordo sem corda; preciso de uma corda para isso.	examine	item	Maple shortbow (u)
An unstrung yew longbow; I need a bowstring for this.	Um arco longo de teixo sem corda; preciso de uma corda para isso.	examine	item	Yew longbow (u)
An unstrung yew shortbow; I need a bowstring for this.	Um arco curto de teixo sem corda; preciso de uma corda para isso.	examine	item	Yew shortbow (u)
An unstrung magic longbow; I need a bowstring for this.	Um arco longo mágico sem corda; preciso de uma corda para isso.	examine	item	Magic longbow (u)
An unstrung magic shortbow; I need a bowstring for this.	Um arco curto mágico sem corda; preciso de uma corda para isso.	examine	item	Magic shortbow (u)
A helmet, as worn by the minions of General Khazard.	Um elmo, como os usados pelos lacaios do General Khazard.	examine	item	Khazard helmet
Armour, as worn by the minions of General Khazard.	Armadura, como as usadas pelos lacaios do General Khazard.	examine	item	Khazard armour
These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).	Estas chaves abrem as celas na arena de luta de Khazard (usadas na missão da Arena de Combate).	examine	item	Khazard cell keys
A bottle of Khazard's worst brew.	Uma garrafa da pior bebida de Khazard.	examine	item	Khali brew
Can only be fired from yew, magic, dark or twisted bows.	Só pode ser disparada com arcos de teixo, mágicos, sombrios ou retorcidos.	examine	item	Ice arrows
A lever to open something perhaps?	Uma alavanca para abrir algo, talvez?	examine	item	Lever
The power in this staff causes it to vibrate gently.	O poder deste cajado faz com que ele vibre suavemente.	examine	item	Staff of armadyl
It catches the light! (Quick access into the Temple of Ikov).	Ele reflete a luz! (Acesso rápido ao Templo de Ikov).	examine	item	Shiny key
An amulet made by Lucien.	Um amuleto feito por Lucien.	examine	item	Pendant of lucien
Worn by followers of Armadyl.	Usado pelos seguidores de Armadyl.	examine	item	Armadyl pendant
Magic boots that make you lighter than normal.	Botas mágicas que te deixam mais leve do que o normal.	examine	item	Boots of lightness
It's very soft!	É muito macio!	examine	item	Child's blanket
I need another ingredient to finish this Guam potion.	Preciso de outro ingrediente para terminar esta poção de Guam.	examine	item	Guam potion (unf)
I need another ingredient to finish this Marrentill potion.	Preciso de outro ingrediente para terminar esta poção de Marrentill.	examine	item	Marrentill potion (unf)
I need another ingredient to finish this Tarromin potion.	Preciso de outro ingrediente para terminar esta poção de Tarromin.	examine	item	Tarromin potion (unf)
I need another ingredient to finish this Harralander potion.	Preciso de outro ingrediente para terminar esta poção de Harralander.	examine	item	Harralander potion (unf)
I need another ingredient to finish this Ranarr potion.	Preciso de outro ingrediente para terminar esta poção de Ranarr.	examine	item	Ranarr potion (unf)
I need another ingredient to finish this Irit potion.	Preciso de outro ingrediente para terminar esta poção de Irita.	examine	item	Irit potion (unf)
I need another ingredient to finish this Avantoe potion.	Preciso de outro ingrediente para terminar esta poção de Avantoe.	examine	item	Avantoe potion (unf)
I need another ingredient to finish this Kwuarm potion.	Preciso de outro ingrediente para terminar esta poção de Kwuarm.	examine	item	Kwuarm potion (unf)
I need another ingredient to finish this Cadantine potion.	Preciso de outro ingrediente para terminar esta poção de Cadantina.	examine	item	Cadantine potion (unf)
I need another ingredient to finish this Dwarf Weed potion.	Preciso de outro ingrediente para terminar esta poção de Erva dos Anões.	examine	item	Dwarf weed potion (unf)
I need another ingredient to finish this Torstol potion.	Preciso de outro ingrediente para terminar esta poção de Torstol.	examine	item	Torstol potion (unf)
4 doses of Strength potion.	4 doses de poção de força.	examine	item	Strength potion(4)
3 doses of Strength potion.	3 doses de poção de força.	examine	item	Strength potion(3)
2 doses of Strength potion.	2 doses de poção de força.	examine	item	Strength potion(2)
1 dose of Strength potion.	1 dose de poção de força.	examine	item	Strength potion(1)
3 doses of Attack potion.	3 doses de poção de ataque.	examine	item	Attack potion(3)
2 doses of Attack potion.	2 doses de poção de ataque.	examine	item	Attack potion(2)
1 dose of Attack potion.	1 dose de poção de ataque.	examine	item	Attack potion(1)
3 doses of restore potion.	3 doses de poção de restauradora.	examine	item	Restore potion(3)
2 doses of restore potion.	2 doses de poção de restauradora.	examine	item	Restore potion(2)
1 dose of restore potion.	1 dose de poção de restauradora.	examine	item	Restore potion(1)
3 doses of Defence potion.	3 doses de poção de defesa.	examine	item	Defence potion(3)
2 doses of Defence potion.	2 doses de poção de defesa.	examine	item	Defence potion(2)
1 dose of Defence potion.	1 dose de poção de Defesa.	examine	item	Defence potion(1)
3 doses of Prayer restore potion.	3 doses de poção de restauração de Oração.	examine	item	Prayer potion(3)
2 doses of Prayer restore potion.	2 doses de poção de restauração de Oração.	examine	item	Prayer potion(2)
1 dose of Prayer restore potion.	1 dose de poção de restauração de Oração.	examine	item	Prayer potion(1)
3 doses of super Attack potion.	3 doses de poção de super Ataque.	examine	item	Super attack(3)
2 doses of super Attack potion.	2 doses de poção de super Ataque.	examine	item	Super attack(2)
1 dose of super Attack potion.	1 dose de poção de super Ataque.	examine	item	Super attack(1)
3 doses of Fishing potion.	3 doses de poção de Pesca.	examine	item	Fishing potion(3)
2 doses of Fishing potion.	2 doses de poção de Pesca.	examine	item	Fishing potion(2)
1 dose of Fishing potion.	1 dose de poção de pesca.	examine	item	Fishing potion(1)
3 doses of super Strength potion.	3 doses de poção de superforça.	examine	item	Super strength(3)
2 doses of super Strength potion.	2 doses de poção de superforça.	examine	item	Super strength(2)
1 dose of super Strength potion.	1 dose de poção de superforça.	examine	item	Super strength(1)
3 doses of super Defence potion.	3 doses de poção de superdefesa.	examine	item	Super defence(3)
2 doses of super Defence potion.	2 doses de poção de superdefesa.	examine	item	Super defence(2)
1 dose of super Defence potion.	1 dose de poção de superdefesa.	examine	item	Super defence(1)
3 doses of ranging potion.	3 doses de poção do arqueiro.	examine	item	Ranging potion(3)
2 doses of ranging potion.	2 doses de poção do arqueiro.	examine	item	Ranging potion(2)
1 dose of ranging potion.	1 dose de poção do arqueiro.	examine	item	Ranging potion(1)
3 doses of antipoison potion.	3 doses de poção antiveneno.	examine	item	Antipoison(3)
2 doses of antipoison potion.	2 doses de poção antiveneno.	examine	item	Antipoison(2)
1 dose of antipoison potion.	1 dose de poção antiveneno.	examine	item	Antipoison(1)
3 doses of super antipoison potion.	3 doses de poção super antiveneno.	examine	item	Superantipoison(3)
2 doses of super antipoison potion.	2 doses de poção super antiveneno.	examine	item	Superantipoison(2)
1 dose of super antipoison potion.	1 dose de poção super antiveneno.	examine	item	Superantipoison(1)
For use on daggers and projectiles.	Para uso em adagas e projéteis.	examine	item	Weapon poison
3 doses of Zamorak brew.	3 doses de poção Zamorak.	examine	item	Zamorak brew(3)
