english	translation	category	sub_category	source
All	Tudo	interface	chatButtons	
Game	Jogo	interface	chatButtons	
Public	Público	interface	chatButtons	
Private	Privado	interface	chatButtons	
On		interface	chatButtons	
Channel	Canal	interface	chatButtons	
Clan	Clã	interface	chatButtons	
Trade	Troca	interface	chatButtons	
Group	Grupo	interface	chatButtons	
<colNum0>Autochat</col>	<colNum0>Autochat</col>	interface	chatButtons	
<colNum0>Friends</col>	<colNum0>Amigos</col>	interface	chatButtons	
<colNum0>Filtered</col>	<colNum0>Filtrado</col>	interface	chatButtons	
<colNum0>Hide</col>	<colNum0>Oculto</col>	interface	chatButtons	
<colNum0>Off</col>	<colNum0>Desligado</col>	interface	chatButtons	
Combat Achievements - Overview	Maestrias de Combate - Visão geral	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points	Pontos totais: <Num0> - Próximo desb. ao chegar em <Num1> pontos.	interface	combAchvmt	
Difficulty Tiers	Classes de Dificuldade	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	Perfil - <!PLAYER_NAME0>	interface	combAchvmt	
Easy	Fácil	interface	combAchvmt	
Medium	Médio	interface	combAchvmt	
Hard	Difícil	interface	combAchvmt	
Elite	Elite	interface	combAchvmt	
Master	Mestre	interface	combAchvmt	
Grandmaster	Grão-Mestre	interface	combAchvmt	
Tasks Completed:	Tarefas concluídas:	interface	combAchvmt	
Boss Kill Count:	Contador de Abates (chefes):	interface	combAchvmt	
Skilling Boss Kill Count:	Contador de Abates (ch. skilling):	interface	combAchvmt	
Raid Completions:	Raids concluídas:	interface	combAchvmt	
Top Boss:	Maior feito (chefe):	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)		interface	combAchvmt	
Top Skilling Boss:	Maior feito (skilling):	interface	combAchvmt	
Top Raid:	Maior Raid:	interface	combAchvmt	
Nothing!	Nada!	interface	combAchvmt	
Overview	Visão geral	interface	combAchvmt	
Tasks	Tarefas	interface	combAchvmt	
Bosses	Chefes	interface	combAchvmt	
Rewards	Recompensas	interface	combAchvmt	
Combat Achievements - Tasks	Maestrias de Combate - Tarefas	interface	combAchvmt	
There are no tasks available to you that match your filters.	Nenhuma tarefa que corresponde a este filtro está disponível.	interface	combAchvmt	
Filters	Filtros	interface	combAchvmt	
Tier:	Classe:	interface	combAchvmt	
All	Tudo	interface	combAchvmt	
Type:	Tipo:	interface	combAchvmt	
Monster:	Monstro:	interface	combAchvmt	
Completed:	Concluído:	interface	combAchvmt	
Noxious Foe	Inimigo Nóxico	interface	combAchvmt	
Barrows Novice	Iniciante em Barrows	interface	combAchvmt	
Defence? What Defence?	Defesa? Que Defesa?	interface	combAchvmt	
Big, Black and Fiery	Grande, Preto e Poderoso	interface	combAchvmt	
The Demonic Punching Bag	O Saco de Pancadas Demoníaco	interface	combAchvmt	
Bryophyta Novice	Iniciante em Bryophyta	interface	combAchvmt	
Protection from Moss	Proteção Nunca é Demoss	interface	combAchvmt	
Preparation Is Key	Preparação é o Segredo	interface	combAchvmt	
A Slow Death	Uma Morte Lenta	interface	combAchvmt	
Fighting as Intended II	Lutando como o Planejado II	interface	combAchvmt	
Deranged Archaeologist Novice	Iniciante em Arqueologista Maluco	interface	combAchvmt	
The Walking Volcano	Vulcão em Ação	interface	combAchvmt	
Into the Den of Giants	No Covil dos Gigantes	interface	combAchvmt	
A Greater Foe	Um Inimigo Superior	interface	combAchvmt	
Not So Great After All	Nem Tão Superior Assim	interface	combAchvmt	
A Demon's Best Friend	O Melhor Amigo do Cão	interface	combAchvmt	
Obor Novice	Iniciante em Obor	interface	combAchvmt	
Sleeping Giant	O Gigante Adormecido	interface	combAchvmt	
Fighting as Intended	Lutando como o Planejado	interface	combAchvmt	
King Black Dragon Novice	Iniciante em Dragão Negro Rei	interface	combAchvmt	
A Scaley Encounter	Um Encontro de Grande Escama	interface	combAchvmt	
Shayzien Protector	Protetor de Shayzien	interface	combAchvmt	
Giant Mole Novice	Iniciante em Toupeira Gigante	interface	combAchvmt	
Sarachnis Novice	Iniciante em Sarachnis	interface	combAchvmt	
Wintertodt Novice	Iniciante em Wintertodt	interface	combAchvmt	
Mummy!		interface	combAchvmt	
Handyman		interface	combAchvmt	
Cosy		interface	combAchvmt	
A Slithery Encounter		interface	combAchvmt	
Tempoross Novice		interface	combAchvmt	
Master of Buckets		interface	combAchvmt	
Calm Before the Storm	A Calma Antes da Tempestade	interface	combAchvmt	
Fire in the Hole!		interface	combAchvmt	
Scurrius Novice		interface	combAchvmt	
Sit Rat		interface	combAchvmt	
One by one		interface	combAchvmt	
Elemental Company		interface	combAchvmt	
Let them fight		interface	combAchvmt	
Sit Back and Relax		interface	combAchvmt	
Barrows Champion		interface	combAchvmt	
Can't Touch Me		interface	combAchvmt	
Pray for Success		interface	combAchvmt	
Brutal, Big, Black and Firey		interface	combAchvmt	
Bryophyta Champion		interface	combAchvmt	
Quick Cutter		interface	combAchvmt	
Demonic Weakening		interface	combAchvmt	
Demonbane Weaponry		interface	combAchvmt	
Chaos Fanatic Champion		interface	combAchvmt	
Sorry, What Was That?		interface	combAchvmt	
Crazy Archaeologist Champion		interface	combAchvmt	
Mage of the Ruins		interface	combAchvmt	
I'd Rather Not Learn		interface	combAchvmt	
Deranged Archaeologist Champion		interface	combAchvmt	
Mage of the Swamp		interface	combAchvmt	
I'd Rather Be Illiterate		interface	combAchvmt	
A Smashing Time		interface	combAchvmt	
Obor Champion		interface	combAchvmt	
Back to the Wall		interface	combAchvmt	
Squashing the Giant		interface	combAchvmt	
King Black Dragon Champion		interface	combAchvmt	
